scenario,time,cw_coherence,pulse_coherence,cw_population,pulse_population
excellent_qubit,0.000,0.00000000,0.00000000,0.00000000,0.00000000
excellent_qubit,0.502,0.00359767,0.01079364,0.00000000,0.00000000
excellent_qubit,1.003,0.00137895,0.01078667,0.00000000,0.00000000
excellent_qubit,1.505,0.00132762,0.01073269,0.00000000,0.00000000
excellent_qubit,2.007,0.00359659,0.01067898,0.00000000,0.00000000
excellent_qubit,2.508,0.00004275,0.01062554,0.00000000,0.00000000
excellent_qubit,3.010,0.00353605,0.01057237,0.00000000,0.00000000
excellent_qubit,3.512,0.00136510,0.01051946,0.00000000,0.00000000
excellent_qubit,4.013,0.00123785,0.01046682,0.00000000,0.00000000
excellent_qubit,4.515,0.00357921,0.01041444,0.00000000,0.00000000
excellent_qubit,5.017,0.00009700,0.01036233,0.00000000,0.00000000
excellent_qubit,5.518,0.00351203,0.01031047,0.00000000,0.00000000
excellent_qubit,6.020,0.00137783,0.01025888,0.00000000,0.00000000
excellent_qubit,6.522,0.00114491,0.01020754,0.00000000,0.00000000
excellent_qubit,7.023,0.00355920,0.01015646,0.00000000,0.00000000
excellent_qubit,7.525,0.00013472,0.01010564,0.00000000,0.00000000
excellent_qubit,8.027,0.00337336,0.01005507,0.00000000,0.00000000
excellent_qubit,8.528,0.00136525,0.01000475,0.00000000,0.00000000
excellent_qubit,9.030,0.00105870,0.00995468,0.00000000,0.00000000
excellent_qubit,9.532,0.00353492,0.00990487,0.00000000,0.00000000
excellent_qubit,10.033,0.00016735,0.00985530,0.00000000,0.00000000
excellent_qubit,10.535,0.00328354,0.00980598,0.00000000,0.00000000
excellent_qubit,11.037,0.00138987,0.00975690,0.00000000,0.00000000
excellent_qubit,11.538,0.00095790,0.00970807,0.00000000,0.00000000
excellent_qubit,12.040,0.00351890,0.00965947,0.00000000,0.00000000
excellent_qubit,12.542,0.00020907,0.00961113,0.00000000,0.00000000
excellent_qubit,13.043,0.00320754,0.00956302,0.00000000,0.00000000
excellent_qubit,13.545,0.00138829,0.00951515,0.00000000,0.00000000
excellent_qubit,14.047,0.00087188,0.00946752,0.00000000,0.00000000
excellent_qubit,14.548,0.00349625,0.00942012,0.00000000,0.00000000
excellent_qubit,15.050,0.00026239,0.00937297,0.00000000,0.00000000
excellent_qubit,15.552,0.00316331,0.00932605,0.00000000,0.00000000
excellent_qubit,16.054,0.00137111,0.00927936,0.00000000,0.00000000
excellent_qubit,16.555,0.00078466,0.00923290,0.00000000,0.00000000
excellent_qubit,17.057,0.00349571,0.00918668,0.00000000,0.00000000
excellent_qubit,17.559,0.00029156,0.00914069,0.00000000,0.00000000
excellent_qubit,18.060,0.00307570,0.00909493,0.00000000,0.00000000
excellent_qubit,18.562,0.00139071,0.00904939,0.00000000,0.00000000
excellent_qubit,19.064,0.00070496,0.00900409,0.00000000,0.00000000
excellent_qubit,19.565,0.00346359,0.00895901,0.00000000,0.00000000
excellent_qubit,20.067,0.00032105,0.00891415,0.00000000,0.00000000
excellent_qubit,20.569,0.00299451,0.00886952,0.00000000,0.00000000
excellent_qubit,21.070,0.00139626,0.00882511,0.00000000,0.00000000
excellent_qubit,21.572,0.00062139,0.00878093,0.00000000,0.00000000
excellent_qubit,22.074,0.00344251,0.00873696,0.00000000,0.00000000
excellent_qubit,22.575,0.00035235,0.00869322,0.00000000,0.00000000
excellent_qubit,23.077,0.00291816,0.00864969,0.00000000,0.00000000
excellent_qubit,23.579,0.00140377,0.00860639,0.00000000,0.00000000
excellent_qubit,24.080,0.00053927,0.00856330,0.00000000,0.00000000
excellent_qubit,24.582,0.00342136,0.00852042,0.00000000,0.00000000
excellent_qubit,25.084,0.00038147,0.00847776,0.00000000,0.00000000
excellent_qubit,25.585,0.00284199,0.00843532,0.00000000,0.00000000
excellent_qubit,26.087,0.00141247,0.00839309,0.00000000,0.00000000
excellent_qubit,26.589,0.00045873,0.00835107,0.00000000,0.00000000
excellent_qubit,27.090,0.00340011,0.00830926,0.00000000,0.00000000
excellent_qubit,27.592,0.00040843,0.00826766,0.00000000,0.00000000
excellent_qubit,28.094,0.00276599,0.00822626,0.00000000,0.00000000
excellent_qubit,28.595,0.00142231,0.00818508,0.00000000,0.00000000
excellent_qubit,29.097,0.00037975,0.00814410,0.00000000,0.00000000
excellent_qubit,29.599,0.00337872,0.00810333,0.00000000,0.00000000
excellent_qubit,30.100,0.00043328,0.00806276,0.00000000,0.00000000
excellent_qubit,30.602,0.00269013,0.00802240,0.00000000,0.00000000
excellent_qubit,31.104,0.00143325,0.00798224,0.00000000,0.00000000
excellent_qubit,31.605,0.00030234,0.00794228,0.00000000,0.00000000
excellent_qubit,32.107,0.00335718,0.00790252,0.00000000,0.00000000
excellent_qubit,32.609,0.00045605,0.00786297,0.00000000,0.00000000
excellent_qubit,33.110,0.00261445,0.00782361,0.00000000,0.00000000
excellent_qubit,33.612,0.00144519,0.00778444,0.00000000,0.00000000
excellent_qubit,34.114,0.00022653,0.00774548,0.00000000,0.00000000
excellent_qubit,34.615,0.00333543,0.00770671,0.00000000,0.00000000
excellent_qubit,35.117,0.00047677,0.00766814,0.00000000,0.00000000
excellent_qubit,35.619,0.00253898,0.00762975,0.00000000,0.00000000
excellent_qubit,36.120,0.00145805,0.00759157,0.00000000,0.00000000
excellent_qubit,36.622,0.00015236,0.00755357,0.00000000,0.00000000
excellent_qubit,37.124,0.00331343,0.00751577,0.00000000,0.00000000
excellent_qubit,37.625,0.00049548,0.00747815,0.00000000,0.00000000
excellent_qubit,38.127,0.00246377,0.00744073,0.00000000,0.00000000
excellent_qubit,38.629,0.00147171,0.00740349,0.00000000,0.00000000
excellent_qubit,39.130,0.00007989,0.00736644,0.00000000,0.00000000
excellent_qubit,39.632,0.00329114,0.00732958,0.00000000,0.00000000
excellent_qubit,40.134,0.00051220,0.00729290,0.00000000,0.00000000
excellent_qubit,40.635,0.00238882,0.00725640,0.00000000,0.00000000
excellent_qubit,41.137,0.00148614,0.00722009,0.00000000,0.00000000
excellent_qubit,41.639,0.00000910,0.00718397,0.00000000,0.00000000
excellent_qubit,42.140,0.00326852,0.00714802,0.00000000,0.00000000
