time_us,optimized_spatial_entanglement,optimized_total_energy,DRAG_spatial_entanglement,DRAG_total_energy,chirped_spatial_entanglement,chirped_total_energy
0.000,0.000000,0.081633,0.000000,0.081633,0.000000,0.081633
0.202,0.011521,0.081432,0.011521,0.081432,0.011521,0.081432
0.404,0.022865,0.081245,0.022865,0.081245,0.022865,0.081245
0.606,0.034029,0.081080,0.034029,0.081080,0.034029,0.081080
0.808,0.045010,0.080941,0.045010,0.080941,0.045010,0.080941
1.010,0.055804,0.080836,0.055804,0.080836,0.055804,0.080836
1.212,0.066409,0.080769,0.066409,0.080769,0.066409,0.080769
1.414,0.076822,0.080747,0.076822,0.080747,0.076822,0.080747
1.616,0.087040,0.080774,0.087040,0.080774,0.087040,0.080774
1.818,0.097061,0.080856,0.097061,0.080856,0.097061,0.080856
2.020,0.106880,0.080999,0.106880,0.080999,0.106880,0.080999
2.222,0.116497,0.081206,0.116497,0.081206,0.116497,0.081206
2.424,0.125907,0.081482,0.125907,0.081482,0.125907,0.081482
2.626,0.135109,0.081832,0.135109,0.081832,0.135109,0.081832
2.828,0.144101,0.082260,0.144101,0.082260,0.144101,0.082260
3.030,0.152881,0.082769,0.152881,0.082769,0.152881,0.082769
3.232,0.161446,0.083365,0.161446,0.083365,0.161446,0.083365
3.434,0.169795,0.084049,0.169795,0.084049,0.169795,0.084049
3.636,0.177927,0.084826,0.177927,0.084826,0.177927,0.084826
3.838,0.185840,0.085699,0.185840,0.085699,0.185840,0.085699
4.040,0.193533,0.086671,0.193533,0.086671,0.193533,0.086671
4.242,0.201007,0.087744,0.201007,0.087744,0.201007,0.087744
4.444,0.208259,0.088922,0.208259,0.088922,0.208259,0.088922
4.646,0.215290,0.090206,0.215290,0.090206,0.215290,0.090206
4.848,0.222101,0.091600,0.222101,0.091600,0.222101,0.091600
5.051,0.228691,0.093104,0.228691,0.093104,0.228691,0.093104
5.253,0.235061,0.094721,0.235061,0.094721,0.235061,0.094721
5.455,0.241212,0.096452,0.241212,0.096452,0.241212,0.096452
5.657,0.247146,0.098300,0.247146,0.098300,0.247146,0.098300
5.859,0.252862,0.100265,0.252862,0.100265,0.252863,0.100265
6.061,0.258365,0.102348,0.258365,0.102348,0.258365,0.102348
6.263,0.263654,0.104551,0.263654,0.104551,0.263654,0.104551
6.465,0.268733,0.106875,0.268733,0.106875,0.268733,0.106875
6.667,0.273603,0.109320,0.273603,0.109320,0.273603,0.109320
6.869,0.278267,0.111887,0.278267,0.111887,0.278267,0.111887
7.071,0.282729,0.114576,0.282729,0.114576,0.282729,0.114576
