time,electrical_field_cw,quantum_excited_cw,coherence_cw,electrical_field_pulse,quantum_excited_pulse,coherence_pulse
0.000000,0.100000,0.000000,0.000000,0.100000,0.000000,0.000000
0.050050,0.099876,0.000000,0.001000,0.100125,0.000000,0.001001
0.100100,0.099508,0.000001,0.001998,0.100501,0.000001,0.002004
0.150150,0.098903,0.000002,0.002989,0.101125,0.000002,0.003011
0.200200,0.098069,0.000004,0.003972,0.101997,0.000004,0.004024
0.250250,0.097015,0.000006,0.004942,0.103115,0.000006,0.005044
0.300300,0.095749,0.000009,0.005898,0.104475,0.000009,0.006073
0.350350,0.094279,0.000012,0.006836,0.106075,0.000013,0.007113
0.400400,0.092617,0.000015,0.007755,0.107910,0.000017,0.008165
0.450450,0.090771,0.000019,0.008651,0.109975,0.000021,0.009231
0.500501,0.088753,0.000023,0.009524,0.112266,0.000027,0.010313
0.550551,0.086572,0.000027,0.010370,0.114777,0.000033,0.011412
0.600601,0.084240,0.000031,0.011188,0.117501,0.000039,0.012529
0.650651,0.081768,0.000036,0.011976,0.120431,0.000047,0.013665
0.700701,0.079167,0.000041,0.012733,0.123561,0.000055,0.014821
0.750751,0.076449,0.000045,0.013457,0.126883,0.000064,0.015999
0.800801,0.073625,0.000050,0.014147,0.130387,0.000074,0.017199
0.850851,0.070705,0.000055,0.014802,0.134066,0.000085,0.018422
0.900901,0.067703,0.000059,0.015421,0.137911,0.000097,0.019668
0.950951,0.064630,0.000064,0.016004,0.141910,0.000110,0.020937
1.001001,0.061496,0.000068,0.016551,0.146055,0.000124,0.022231
1.051051,0.058314,0.000073,0.017060,0.150336,0.000139,0.023549
1.101101,0.055095,0.000077,0.017533,0.154741,0.000155,0.024890
1.151151,0.051849,0.000081,0.017969,0.159259,0.000172,0.026257
1.201201,0.048588,0.000084,0.018368,0.163879,0.000191,0.027646
1.251251,0.045323,0.000088,0.018732,0.168589,0.000211,0.029060
1.301301,0.042062,0.000091,0.019061,0.173379,0.000233,0.030496
1.351351,0.038817,0.000094,0.019355,0.178235,0.000255,0.031955
1.401401,0.035596,0.000096,0.019617,0.183146,0.000280,0.033435
1.451451,0.032410,0.000098,0.019847,0.188099,0.000305,0.034936
1.501502,0.029267,0.000100,0.020047,0.193082,0.000332,0.036456
1.551552,0.026176,0.000102,0.020219,0.198082,0.000361,0.037995
1.601602,0.023144,0.000104,0.020364,0.203087,0.000391,0.039552
1.651652,0.020180,0.000105,0.020483,0.208085,0.000423,0.041125
1.701702,0.017290,0.000106,0.020580,0.213062,0.000456,0.042712
1.751752,0.014481,0.000107,0.020657,0.218007,0.000491,0.044312
1.801802,0.011758,0.000107,0.020715,0.222906,0.000528,0.045924
1.851852,0.009129,0.000108,0.020757,0.227749,0.000565,0.047545
1.901902,0.006596,0.000108,0.020785,0.232522,0.000605,0.049174
1.951952,0.004165,0.000108,0.020802,0.237214,0.000646,0.050809
2.002002,0.001840,0.000108,0.020810,0.241813,0.000688,0.052449
2.052052,-0.000375,0.000108,0.020812,0.246038,0.000732,0.054089
2.102102,-0.002479,0.000108,0.020809,0.249648,0.000777,0.055726
2.152152,-0.004468,0.000108,0.020805,0.252633,0.000823,0.057354
2.202202,-0.006341,0.000108,0.020801,0.254985,0.000870,0.058967
2.252252,-0.008098,0.000108,0.020800,0.256699,0.000918,0.060560
2.302302,-0.009737,0.000108,0.020804,0.257770,0.000966,0.062128
2.352352,-0.011259,0.000108,0.020814,0.258196,0.001014,0.063665
2.402402,-0.012663,0.000109,0.020832,0.257976,0.001063,0.065167
2.452452,-0.013951,0.000109,0.020859,0.257109,0.001111,0.066628
2.502503,-0.015125,0.000109,0.020897,0.255599,0.001159,0.068044
2.552553,-0.016187,0.000110,0.020946,0.253449,0.001206,0.069410
2.602603,-0.017138,0.000110,0.021007,0.250665,0.001252,0.070722
2.652653,-0.017981,0.000111,0.021081,0.247253,0.001297,0.071975
2.702703,-0.018721,0.000112,0.021167,0.243222,0.001340,0.073167
2.752753,-0.019361,0.000113,0.021267,0.238582,0.001382,0.074293
2.802803,-0.019904,0.000114,0.021379,0.233346,0.001421,0.075351
2.852853,-0.020357,0.000116,0.021503,0.227525,0.001459,0.076338
2.902903,-0.020722,0.000117,0.021639,0.221135,0.001494,0.077252
2.952953,-0.021007,0.000119,0.021786,0.214191,0.001527,0.078092
3.003003,-0.021215,0.000120,0.021942,0.206711,0.001557,0.078855
3.053053,-0.021353,0.000122,0.022108,0.198714,0.001584,0.079542
3.103103,-0.021426,0.000124,0.022282,0.190219,0.001609,0.080152
3.153153,-0.021440,0.000126,0.022462,0.181249,0.001630,0.080687
3.203203,-0.021402,0.000128,0.022649,0.171825,0.001649,0.081146
3.253253,-0.021318,0.000130,0.022840,0.161971,0.001665,0.081533
3.303303,-0.021195,0.000133,0.023036,0.151712,0.001678,0.081849
3.353353,-0.021039,0.000135,0.023235,0.141074,0.001688,0.082099
3.403403,-0.020856,0.000137,0.023435,0.130082,0.001696,0.082286
3.453453,-0.020654,0.000140,0.023637,0.118765,0.001701,0.082416
3.503504,-0.020438,0.000142,0.023838,0.107151,0.001704,0.082493
3.553554,-0.020216,0.000144,0.024040,0.095269,0.001706,0.082525
3.603604,-0.019993,0.000147,0.024240,0.083149,0.001705,0.082519
3.653654,-0.019775,0.000149,0.024439,0.070821,0.001704,0.082483
3.703704,-0.019569,0.000152,0.024635,0.058317,0.001701,0.082426
3.753754,-0.019381,0.000154,0.024830,0.045667,0.001699,0.082359
3.803804,-0.019217,0.000157,0.025022,0.032902,0.001696,0.082290
3.853854,-0.019081,0.000159,0.025211,0.020056,0.001693,0.082233
3.903904,-0.018979,0.000161,0.025397,0.007159,0.001692,0.082197
3.953954,-0.018916,0.000164,0.025581,-0.005754,0.001692,0.082195
4.004004,-0.018896,0.000166,0.025761,-0.018653,0.001694,0.082240
4.054054,-0.018925,0.000168,0.025939,-0.031504,0.001698,0.082343
4.104104,-0.019005,0.000171,0.026114,-0.044277,0.001705,0.082516
4.154154,-0.019140,0.000173,0.026286,-0.056937,0.001716,0.082772
4.204204,-0.019333,0.000175,0.026456,-0.069455,0.001730,0.083122
4.254254,-0.019587,0.000177,0.026623,-0.081799,0.001749,0.083575
